,Score
resample-0,0.95
resample-1,0.825
resample-2,0.95
resample-3,1.0
resample-4,0.975
resample-5,0.975
resample-6,0.975
resample-7,0.9
resample-8,1.0
resample-9,0.975
resample-10,0.925
resample-11,1.0
resample-12,1.0
resample-13,1.0
resample-14,0.825
resample-15,0.925
resample-16,0.925
resample-17,1.0
resample-18,0.925
resample-19,0.975
resample-20,0.95
resample-21,0.95
resample-22,0.95
resample-23,0.95
resample-24,1.0
resample-25,0.975
resample-26,0.975
resample-27,0.85
resample-28,1.0
resample-29,0.85
